"","isocode","country","cont","ggdp","gpop","open60","sav60","lxrd60","lxrdav","savav","openav","lgdp60","lpop60"
"29","DZA","Algeria","Africa",0.857999205589294,2.62652015686035,100.357086181641,17.7749042510986,0.846057534217834,0.767229437828064,16.0040035247803,54.8528327941895,1.5934751033783,2.38961505889893
"30","BDI","Burundi","Africa",0.145760253071785,1.77273416519165,25.5902309417725,2.22399926185608,0.739637434482574,1.08684098720551,3.63877177238464,29.7964859008789,-0.142195343971252,1.03377497196198
"31","MDG","Madagascar","Africa",-1.06233966350555,2.59959578514099,31.3298835754395,4.62987947463989,1.0622284412384,0.971213340759277,3.88629269599915,42.7567405700684,0.483596354722977,1.70141923427582
"32","ZMB","Zambia","Africa",-0.105007469654083,2.75586819648743,117.845108032227,64.5308609008789,1.0626825094223,0.728814780712128,35.2148933410645,77.3827972412109,0.162344470620155,1.17988502979279
"33","MUS","Mauritius","Africa",3.22473788261414,1.43903422355652,84.4538345336914,31.5325946807861,1.347740650177,1.30248129367828,12.603271484375,109.480796813965,1.56315565109253,-0.410634964704514
"34","CIV","Cote d`Ivoire","Africa",1.21027553081512,3.72471737861633,61.9285926818848,8.69437599182129,0.695427060127258,0.712317168712616,8.32553768157959,70.7544326782227,0.535365283489227,1.27426636219025
"35","TZA","Tanzania","Africa",1.19040322303772,2.97820448875427,60.1806488037109,1.84504413604736,0.774573802947998,0.652116060256958,4.95219755172729,47.2796821594238,-0.430229425430298,2.32821893692017
"36","GNB","Guinea-Bissau","Africa",1.22659540176392,1.82225203514099,32.6263008117676,10.3813571929932,0.243625938892365,0.577861130237579,13.7045984268188,44.8543548583984,-0.49534747004509,-0.48340180516243
"37","ISR","Israel","Asia",2.86430263519287,2.50911664962769,20.4833488464355,28.5826511383057,0.116352878510952,0.201678335666656,24.9287986755371,62.977367401123,2.10860061645508,0.761504292488098
"38","CHN","China","Asia",5.26378488540649,1.65710186958313,9.55620288848877,29.4930973052979,0.0775579437613487,0.735392212867737,24.4832077026367,19.2044715881348,-0.586374640464783,6.47798824310303
"39","PHL","Philippines","Asia",1.44080114364624,2.56962561607361,21.6410083770752,10.9801397323608,0.625018239021301,1.16252946853638,13.8463459014893,54.0218048095703,0.97303831577301,3.350919008255
"40","IRN","Iran","Asia",1.37112367153168,2.79795575141907,43.8759155273438,18.107837677002,1.37433934211731,0.684885799884796,27.6319580078125,46.2430610656738,1.44445383548737,3.07056140899658
"41","AUS","Australia","Asia",2.04928398132324,1.5458379983902,27.9161567687988,25.4015998840332,0.230921432375908,0.0184542536735535,24.1291046142578,31.4138145446777,2.54404830932617,2.32985782623291
"42","PAK","Pakistan","Asia",2.82950830459595,2.58237147331238,17.9202442169189,10.8841381072998,0.742127537727356,1.0668329000473,13.4399251937866,22.8403186798096,0.00659846980124712,3.91973114013672
"43","THA","Thailand","Asia",4.24064683914185,2.04536724090576,31.5551357269287,17.4568538665771,0.889963448047638,0.962484776973724,29.7675895690918,55.5763702392578,0.308438807725906,3.31464958190918
"44","JPN","Japan","Asia",3.95731544494629,0.750350058078766,20.9564323425293,22.5440559387207,0.75736129283905,0.0393173396587372,30.7981357574463,20.9835147857666,1.66970205307007,4.54431533813477
"45","MYS","Malaysia","Asia",4.43398857116699,2.37496066093445,86.7845993041992,11.0379467010498,0.594859063625336,0.671180963516235,19.4570980072021,117.252960205078,0.845024526119232,2.1316180229187
"46","IND","India","Asia",2.63024044036865,2.02615404129028,10.9421577453613,10.1067152023315,0.762055456638336,1.14045941829681,10.4094676971436,13.8635005950928,0.107072494924068,6.09999847412109
"47","IDN","Indonesia","Asia",2.99817848205566,2.01409578323364,27.4749488830566,5.35050010681152,1.09855258464813,1.17444181442261,13.5374927520752,43.2650947570801,0.291993290185928,4.6066255569458
"48","KOR","Korea, Republic of","Asia",5.6280574798584,1.56609916687012,15.8419055938721,7.24302339553833,0.662481129169464,0.648999750614166,27.5088138580322,53.2933883666992,0.612397074699402,3.21899938583374
"49","HKG","Hong Kong","Asia",4.90352725982666,2.09722471237183,184.10595703125,28.8855094909668,0.520224571228027,0.407477706670761,25.3910102844238,204.51350402832,1.42923700809479,1.12340247631073
"50","JOR","Jordan","Asia",-0.235597252845764,4.43354558944702,61.344970703125,5.06201267242432,0.973968744277954,0.812615573406219,13.2060308456421,98.4227142333984,1.67446446418762,-0.164267480373383
"51","TUR","Turkey","Asia",2.15075945854187,2.20614290237427,6.58451414108276,8.45773601531982,-0.0154052749276161,0.458009272813797,12.7448806762695,24.1484069824219,1.04936397075653,3.34049153327942
"52","SGP","Singapore","Asia",4.53644227981567,2.31232929229736,360.875366210938,45.5556373596191,0.778138041496277,0.415984392166138,44.7897071838379,319.557830810547,1.68297672271729,0.498591065406799
"53","NZL","New Zealand","Asia",1.1710706949234,1.19011569023132,44.8420295715332,19.5630493164062,0.40442880988121,0.281847387552261,20.3139629364014,52.8343734741211,2.66983222961426,0.863733053207397
"54","SYR","Syria","Asia",2.0917227268219,3.20056486129761,47.7965850830078,6.58772420883179,-0.277431309223175,-0.0786673277616501,8.27452087402344,49.517463684082,0.081922210752964,1.51128625869751
"55","LKA","Sri Lanka","Asia",3.60638952255249,1.66622006893158,90.8225936889648,16.5059013366699,0.646477699279785,1.1890332698822,15.0378246307373,69.9964065551758,0.0957408845424652,2.29042935371399
"56","NPL","Nepal","Asia",1.44205689430237,2.25209426879883,15.9410238265991,3.1603672504425,1.26742804050446,1.38758766651154,11.5823831558228,30.0193538665771,0.00332873733714223,2.30605125427246
"57","ITA","Italy","Europe & N. America",2.71309018135071,0.348763227462769,25.8601360321045,30.8520851135254,0.672879934310913,0.25713449716568,24.4370346069336,39.0985870361328,2.10189580917358,3.91600894927979
"58","PRT","Portugal","Europe & N. America",3.68314647674561,0.35888808965683,35.5645942687988,18.0673084259033,0.829929292201996,0.617579758167267,20.200626373291,56.8164405822754,1.46325361728668,2.1812891960144
"59","ISL","Iceland","Europe & N. America",2.64393210411072,1.17215049266815,86.6007080078125,26.4484519958496,0.147617876529694,-0.121816150844097,25.2991409301758,72.5742416381836,2.31645727157593,-1.73728263378143
"60","DNK","Denmark","Europe & N. America",2.12860488891602,0.383087426424026,66.9453964233398,22.5686511993408,0.565190374851227,-0.0133800078183413,22.1371631622314,66.7357635498047,2.57163667678833,1.52191686630249
"61","ESP","Spain","Europe & N. America",3.28856301307678,0.725989043712616,15.3739805221558,17.2222423553467,0.981733024120331,0.413368672132492,22.7278232574463,33.0086097717285,1.73265492916107,3.41625547409058
"62","FRA","France","Europe & N. America",2.58254957199097,0.651225745677948,26.9162979125977,21.1952075958252,0.29658767580986,0.0118654612451792,23.0536575317383,38.7102317810059,2.28524875640869,3.82174801826477
"63","LUX","Luxembourg","Europe & N. America",3.26042175292969,0.81615161895752,173.135589599609,30.7999114990234,0.516815483570099,0.096790999174118,25.6834297180176,194.434234619141,2.67136883735657,-1.15835273265839
"64","CHE","Switzerland","Europe & N. America",1.50665676593781,0.72554737329483,53.804027557373,28.2989368438721,0.627055525779724,-0.0246315822005272,28.0463161468506,64.2067947387695,2.85036444664001,1.67933619022369
"65","GRC","Greece","Europe & N. America",2.86269760131836,0.688345491886139,23.9739685058594,23.7117595672607,0.613609433174133,0.372664391994476,24.9812793731689,39.4139556884766,1.57176244258881,2.12028360366821
"66","FIN","Finland","Europe & N. America",2.50496196746826,0.389335870742798,44.0058670043945,34.1331787109375,0.373547077178955,-0.0272833406925201,29.5531883239746,52.992130279541,2.21703124046326,1.48839974403381
"67","GBR","United Kingdom","Europe & N. America",2.11887264251709,0.322362929582596,41.985954284668,15.9656991958618,0.430162161588669,0.186783835291862,17.2632808685303,49.4919166564941,2.45826625823975,3.94297885894775
"68","BEL","Belgium","Europe & N. America",2.70784020423889,0.295963406562805,79.3883361816406,21.8355464935303,0.349401414394379,0.0372276157140732,22.4827880859375,116.611236572266,2.21314334869385,2.21413516998291
"69","AUT","Austria","Europe & N. America",2.82980251312256,0.346641182899475,46.7736206054688,23.1850833892822,0.67176741361618,0.199907541275024,24.1147575378418,63.8310012817383,2.25055503845215,1.9527440071106
"70","IRL","Ireland","Europe & N. America",3.74020051956177,0.734190046787262,62.9916610717773,13.8649234771729,0.482239007949829,0.129766121506691,20.9232482910156,100.49195098877,1.83554542064667,1.04168808460236
"71","ROM","Romania","Europe & N. America",3.37685346603394,0.497100025415421,42.5821876525879,10.6865587234497,-1.14934492111206,0.263589531183243,19.365629196167,48.4953193664551,0.396011769771576,2.91253614425659
"72","SWE","Sweden","Europe & N. America",2.01065444946289,0.428192585706711,44.5046272277832,24.9559497833252,0.188458099961281,-0.14671890437603,22.1676177978516,57.6429443359375,2.52035307884216,2.01223301887512
"73","NOR","Norway","Europe & N. America",3.04380488395691,0.572294294834137,73.1716156005859,30.492992401123,0.329381018877029,-0.0950240194797516,28.9194068908691,73.6869049072266,2.38713479042053,1.2756415605545
"74","NLD","Netherlands","Europe & N. America",2.14013671875,0.812446892261505,95.8126068115234,26.7106533050537,0.718354046344757,0.11540399491787,24.421760559082,102.798942565918,2.51031303405762,2.4411838054657
"75","USA","United States","Europe & N. America",2.31867218017578,1.05729460716248,9.45254611968994,16.0164203643799,0,0,18.7559089660645,16.746768951416,2.72384452819824,5.22659730911255
"76","MEX","Mexico","Europe & N. America",1.76467335224152,2.49189186096191,22.0504493713379,17.3117179870605,0.701668202877045,0.562100052833557,18.1297187805176,31.362419128418,1.56830525398254,3.60929203033447
"77","CAN","Canada","Europe & N. America",2.11915755271912,1.34650409221649,35.3047180175781,20.1079025268555,-0.000188129954040051,-0.00581016298383474,22.3563613891602,52.0615272521973,2.54188513755798,2.88530397415161
"78","ECU","Ecuador","S. America",1.33036851882935,2.68389797210693,34.6359062194824,29.3892002105713,1.34431409835815,1.08616638183594,23.4912528991699,47.3918647766113,1.11856281757355,1.48522436618805
